word,value
conhecê,12851
planos,12826
esqueci,12817
buraco,12808
ligou,12805
meninas,12785
fotos,12752
risco,12749
encontrá,12725
dizia,12672
dessas,12656
estiveste,12632
nomes,12619
vossas,12617
cartas,12544
chaves,12542
nela,12524
pega,12489
queira,12466
dentes,12457
tiveste,12412
dado,12403
ficam,12312
teremos,12263
tire,12256
lidar,12220
papai,12168
gostei,12159
ias,12155
ideias,12143
saudades,12135
esperava,12129
serve,12116
matei,12067
preocupado,12055
novos,12052
dados,12034
sapatos,12011
suponho,11955
caiu,11950
roupas,11944
ocupado,11929
chamas,11917
ponha,11881
chamam,11854
paris,11847
levo,11809
pensando,11755
soldados,11717
tornou,11678
termos,11622
noites,11615
desses,11598
deram,11583
daquele,11547
falamos,11525
pense,11517
continue,11482
americanos,11450
caramba,11395
novas,11392
agentes,11390
come,11342
mexam,11235
entende,11219
vens,11171
caras,11164
abra,11162
daquela,11126
filmes,11111
ficará,11109
branca,11081
encontra,11044
acontecendo,11036
errada,11033
cheguei,11027
desculpas,11018
duma,11007
tome,11003
ido,10973
lugares,10972
terei,10915
escute,10887
li,10865
serei,10863
ligo,10842
seres,10841
tia,10811
vendo,10744
princesa,10726
aguenta,10718
costumava,10697
encontraram,10686
torna,10683
gostam,10603
vindos,10599
puder,10597
xerife,10576
vimos,10575
verdadeira,10561
tente,10542
perdemos,10460
porreiro,10420
deviam,10401
morre,10394
forças,10360
luzes,10348
falas,10337
conseguiste,10336
portas,10329
ligue,10315
pegue,10307
apanhei,10304
apareceu,10296
pontos,10283
infelizmente,10278
pensam,10274
longa,10251
tido,10197
cadeia,10180
prefiro,10175
humana,10161
andado,10157
correu,10151
estrelas,10148
velhos,10108
vieram,10096
conhecemos,10088
acorda,9986
terem,9975
várias,9970
unidos,9955
auto,9915
dedos,9898
conseguia,9897
flores,9864
levem,9848
estados,9827
normalmente,9816
vieste,9812
milhares,9795
mo,9794
conseguem,9784
ficamos,9776
dás,9774
acordar,9772
histórias,9754
encontrado,9719
afasta,9669
segue,9649
aulas,9619
mexe,9611
chame,9604
gay,9578
deixes,9577
estranha,9570
especialmente,9565
venho,9549
esperando,9537
deixo,9531
inteira,9524
perfeita,9514
possamos,9488
cavalheiros,9464
corte,9455
serem,9440
cale,9392
oeste,9385
atacar,9383
felizes,9345
ando,9335
encontramos,9317
chamou,9313
idiotas,9299
pensou,9282
tirem,9262
andando,9260
sinais,9239
jovens,9223
cheira,9207
clientes,9205
jogos,9189
roubou,9187
morreram,9175
corpos,9163
queiras,9107
tantas,9100
recebi,9079
sexta,9067
traga,9058
pede,9053
fonte,9045
militar,9028
lisa,9017
soubesse,9015
major,8988
colega,8983
vítimas,8975
entendi,8935
meninos,8925
oferecer,8870
partido,8863
disser,8834
sentado,8773
vivos,8770
maldita,8759
visitar,8753
acreditas,8732
faremos,8730
deixado,8699
ouvidos,8694
ajudem,8687
tiveram,8684
polícias,8672
escreveu,8635
deuses,8630
importo,8621
pequenos,8617
ruas,8606
confia,8605
interior,8602
obviamente,8599
depende,8582
conhecia,8570
iremos,8565
pude,8564
achou,8545
descobri,8542
digam,8536
comecei,8527
viemos,8514
cavalos,8505
crer,8492
acredite,8449
poderes,8428
merdas,8393
tirou,8351
testes,8312
feita,8309
bocadinho,8302
rapidamente,8295
maiores,8251
momentos,8196
acalma,8193
vemos,8170
treta,8153
importas,8146
tivesses,8146
guardas,8138
deixaste,8134
acabaram,8132
procurando,8102
entendes,8096
poucos,8094
deseja,8081
mataram,8058
mano,8057
pertence,8057
dera,8023
iam,8013
daqueles,8003
comprei,7995
fizer,7990
segredos,7987
ganha,7984
senador,7984
limpa,7971
arranja,7952
notas,7945
descobriu,7944
dava,7931
ovos,7909
interessado,7881
antiga,7880
tantos,7876
pessoalmente,7873
passaram,7865
perguntei,7852
concordo,7844
andam,7843
aparece,7840
andava,7834
sentem,7813
instante,7813
tendo,7805
balas,7800
costa,7794
fotografias,7790
vitória,7776
podiam,7768
inimigos,7765
mandei,7760
despacha,7755
fugiu,7744
merece,7742
oferta,7734
voltas,7730
estejam,7728
tragam,7726
ganhou,7720
ficaria,7718
tretas,7715
detesto,7712
direitos,7686
encontrámos,7684
mete,7679
quisesse,7676
mate,7670
responde,7652
razões,7628
giro,7625
voltei,7603
vira,7599
chegaram,7598
fecha,7590
estejas,7581
levaram,7581
objectivo,7576
conhecem,7557
mantenha,7550
casos,7550
primo,7530
solta,7515
mataste,7511
respostas,7509
frança,7479
entrem,7434
aparentemente,7429
bate,7380
afastem,7379
encontraste,7376
salvou,7333
queriam,7320
rock,7311
pro,7309
pegou,7303
pareceu,7299
médica,7297
maus,7280
acabaste,7270
resta,7262
haja,7253
voltem,7197
desaparece,7167
centenas,7165
acontecido,7155
apanhou,7151
resultados,7124
fossem,7119
ouviram,7107
loucos,7107
fosses,7099
lembre,7096
conte,7095
percebe,7089
mexa,7076
perfeitamente,7074
usou,7069
preocupada,7066
estaremos,7057
adam,7057
corta,7054
ossos,7051
secretária,7048
ultimamente,7047
presos,7042
terceira,7006
adora,7000
decidi,6983
assuntos,6981
amava,6980
entendeu,6974
negra,6964
truque,6957
membros,6953
deixaram,6938
imagino,6928
compras,6921
pequenas,6918
sara,6917
abram,6892
importantes,6875
pergunto,6863
malas,6849
falam,6832
fechado,6825
usando,6818
lixe,6814
confio,6811
saí,6798
agarra,6794
erros,6768
contei,6759
mande,6737
fortes,6733
vejamos,6724
preocupa,6720
adorava,6712
aceito,6709
últimas,6703
irmos,6687
dorme,6686
perguntou,6682
houver,6678
recebeu,6666
ponham,6659
primeiros,6646
quiserem,6645
carteira,6644
ficaram,6642
enfermeira,6630
policial,6629
deixam,6628
convosco,6625
partiu,6625
enviou,6596
ajudou,6586
der,6581
preparem,6575
digamos,6573
obra,6573
usá,6562
detalhes,6562
morrido,6560
bebidas,6560
dura,6551
obter,6551
penses,6550
maravilhosa,6524
largue,6519
especiais,6495
show,6484
fizesse,6469
americana,6450
chegue,6444
aprendi,6441
liceu,6439
máquinas,6435
explica,6429
venda,6428
mesmos,6402
duvido,6386
escadas,6371
pensado,6362
liguei,6357
chegamos,6338
parou,6330
impressionante,6325
soa,6325
esperamos,6324
responda,6323
gajos,6309
anti,6302
mostre,6290
tiros,6289
sarilhos,6266
mentiras,6254
amas,6213
continuem,6213
perdeste,6212
amigas,6211
achamos,6210
chamadas,6209
imagens,6197
jornais,6196
afaste,6193
parado,6191
vermelha,6184
faltam,6184
voltamos,6167
virá,6166
garanto,6161
ensinou,6134
terminou,6133
peguei,6130
brincando,6130
testemunhas,6110
nasceu,6104
comprou,6104
sozinhos,6102
mantenham,6098
judeus,6077
bateu,6071
deixas,6065
olhando,6058
peças,6040
fiques,6038
pensaste,6033
gostou,6032
postos,6026
sigam,6025
federal,6020
legendas,6020
chamava,6016
siga,5976
temo,5975
puto,5974
odeia,5974
decidiu,5969
vivem,5966
ganhei,5960
salva,5952
trabalhava,5948
cansada,5948
completa,5944
bombas,5942
iguais,5935
ficado,5928
atira,5926
necessidade,5922
sede,5922
assassinos,5920
crimes,5917
directamente,5902
suficientemente,5898
possam,5881
percebeste,5864
quartos,5864
canto,5862
sentia,5855
escondido,5851
procuro,5841
levei,5841
bilhetes,5836
marcas,5834
aceita,5813
mexas,5806
negros,5805
garotas,5803
certas,5796
imagina,5795
tirei,5773
puxa,5753
matem,5748
cego,5747
entrei,5746
convidado,5744
ficava,5744
montanhas,5744
trabalhos,5742
trabalhando,5733
sabiam,5725
presentes,5715
saio,5705
dando,5673
paredes,5671
ires,5664
pergunte,5659
locais,5639
pedras,5607
estivemos,5606
consiga,5601
possas,5599
roubado,5593
usam,5583
relaxa,5572
coloque,5569
partam,5565
lados,5564
dores,5564
adivinhar,5559
tropas,5548
estiveres,5548
estranhos,5544
leis,5536
mora,5533
pensamentos,5526
mensagens,5526
encontre,5519
brancos,5519
incluindo,5516
haveria,5516
saibas,5508
vindas,5502
disco,5501
pacientes,5496
chegámos,5487
feitos,5487
fechada,5481
papéis,5474
escolheu,5464
conheceu,5462
desliga,5459
documentos,5454
maluca,5452
veremos,5448
tomou,5441
acabámos,5432
sobe,5399
digitais,5394
livres,5393
joelhos,5388
registos,5386
falaste,5363
sabendo,5359
ocupada,5359
continuas,5346
comece,5345
vires,5343
professora,5335
desaparecido,5332
atirou,5322
danos,5321
segui,5310
trouxeste,5310
formas,5279
alunos,5268
acabamos,5262
diamantes,5254
acabo,5254
estares,5247
convidados,5239
esqueceu,5234
basicamente,5232
respira,5224
daquelas,5221
milhas,5218
atingido,5217
chateado,5196
achava,5196
prepara,5190
antigos,5189
pensamos,5187
quarta,5185
seguros,5181
colocou,5176
mamas,5173
tomei,5172
prisioneiros,5171
sinceramente,5168
terroristas,5165
cai,5161
aguento,5159
hum,5158
prometi,5155
sistemas,5154
russos,5153
pizza,5152
casada,5149
use,5148
daquilo,5128
fantasmas,5115
naves,5105
linhas,5103
oceano,5102
fores,5097
Jean,5096
graus,5094
unidades,5090
passamos,5077
tiveres,5075
acreditam,5072
escrevi,5064
estiveram,5064
toques,5062
passam,5060
oficiais,5060
sugiro,5054
damos,5053
permite,5052
repito,5042
escreve,5039
espectacular,5038
ricos,5036
voltarei,5029
nuclear,5023
perdoe,5021
arranjaste,5021
conseguiram,5011
falava,5009
tenhamos,5005
seremos,5001
criou,4958
vizinhos,4957
batatas,4948
dispara,4946
facilmente,4945
fundos,4942
legendagem,4933
claramente,4923
passos,4919
juntas,4909
arranjou,4905
despedido,4905
fales,4902
poderiam,4899
praticamente,4898
virem,4893
ficarei,4883
levam,4879
ambas,4874
